estimates,SE,P.value,type,ASV
0.000119758278260341,3.91635249117414e-05,0.018,B,asv_001840
0,5.6695999027183e-06,0.674,G,asv_001840
-4.71904464824602e-05,9.26451207699736e-05,0.728,B,asv_001875
0,1.23663586927722e-05,0.7,G,asv_001875
1.1568397911443e-05,4.93829431954222e-06,0.074,B,asv_001888
0,1.35018817553911e-06,0.544,G,asv_001888
0,0,0,B,asv_001948
0,0,0,G,asv_001948
0.00084236001125388,0.00025950624358956,0.04,B,asv_001978
0,5.77305678405837e-05,0.6,G,asv_001978
0,0,0,B,asv_001993
0,0,0,G,asv_001993
0,0,0,B,asv_002018
0,0,0,G,asv_002018
0,1.30677948561598e-15,0.002,B,asv_002136
0,5.24021277260507e-11,0.018,G,asv_002136
0,0,0,B,asv_002138
0,0,0,G,asv_002138
-1.71060530723297e-05,1.33990003722289e-05,0.084,B,asv_002166
0,1.92187350139915e-06,0.792,G,asv_002166
-4.44468390230781e-05,0.000126826419553207,0.202,B,asv_002172
0,2.66929859360541e-05,0.348,G,asv_002172
-6.02693068263467e-05,4.47328497850298e-05,0.148,B,asv_002205
-1.61155689121616e-09,1.01691943742377e-05,0.594,G,asv_002205
0.000266761943995232,0.00021629064707043,0.134,B,asv_002309
0,4.15678111705525e-05,0.484,G,asv_002309
-4.13349794875437e-06,1.2894292810981e-05,0.504,B,asv_002353
-9.6540479289985e-07,1.87286827340471e-06,0.528,G,asv_002353
9.19557752418883e-07,1.85062853465135e-05,0.95,B,asv_002354
0,2.93538616433782e-06,0.716,G,asv_002354
-7.71525530904125e-05,7.1840028738536e-05,0.298,B,asv_002358
-1.05020242095038e-07,1.00232253195094e-05,0.706,G,asv_002358
0.000144714940374754,5.93931453138489e-05,0.026,B,asv_002692
-3.30346167222392e-06,9.93302504961362e-06,0.216,G,asv_002692
0.000237022236084087,9.58980290242353e-05,0.044,B,asv_002742
0,1.90427565379325e-05,0.296,G,asv_002742
3.87245509504616e-06,3.37075670721596e-05,0.828,B,asv_002743
0,5.70460571355263e-06,0.56,G,asv_002743
1.06215208557712e-05,2.17421188188739e-05,0.522,B,asv_002768
1.00532513948208e-07,3.51943258506211e-06,0.754,G,asv_002768
-1.59216969597544e-05,1.07629302703478e-05,0.054,B,asv_002780
0,2.10241959692829e-06,0.692,G,asv_002780
0,2.04902720934864e-13,0.002,B,asv_002796
0,3.58324661040995e-08,0.002,G,asv_002796
0.000214830289831249,5.42242268517116e-05,0.004,B,asv_002841
-1.02481631154079e-07,9.57485521501337e-06,0.4,G,asv_002841
0,0,0,B,asv_002995
0,0,0,G,asv_002995
-2.31384754643499e-05,3.02995045188481e-05,0.092,B,asv_003033
0,4.52116765093403e-06,0.306,G,asv_003033
-2.54510668094892e-07,2.10632526418838e-06,0.804,B,asv_003250
0,6.78135854566908e-07,0.696,G,asv_003250
-0.000127571490475059,6.9026938142721e-05,0.04,B,asv_003343
-7.63778063741765e-07,9.88440976709294e-06,0.268,G,asv_003343
2.6092574860554e-05,2.25102380173821e-05,0.426,B,asv_004447
-2.64545160231208e-06,4.4702049849512e-06,0.082,G,asv_004447
-7.97699446722979e-14,1.67396765463507e-12,0.83,B,asv_004558
0,2.53924302694658e-07,0.372,G,asv_004558
2.21441567198921e-06,4.57799282665177e-06,0.606,B,asv_004714
9.79373723166347e-07,9.59147719780628e-07,0.328,G,asv_004714
-3.36996145863904e-06,8.44153171935905e-06,0.494,B,asv_014370
0,1.84911045346638e-06,0.784,G,asv_014370
